URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst/52017257?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£300 per day,Contract,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52200355?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data analyst,Competitive salary,Permanent,full-time,Leicester
https://www.reed.co.uk/jobs/data-analyst/52139364?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£24,000 per annum",Permanent,full-time,Prenton
https://www.reed.co.uk/jobs/data-analyst/52028559?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£29,000 - £30,000 per annum",Permanent,full-time,Leeds
https://www.reed.co.uk/jobs/data-analyst/52103769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£38 - £46 per hour,Permanent,full-time,Rooksley
https://www.reed.co.uk/jobs/data-analyst/52199800?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£16.63 - £19.81 per hour,Temporary,full-time,Oxford
https://www.reed.co.uk/jobs/data-analyst/52125679?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£350 - £450 per day,Contract,full-time,Manchester
https://www.reed.co.uk/jobs/data-analyst/52232777?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,£141.92 - £216.72 per day,Temporary,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52146674?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D2,Data Analyst,"£30,000 - £32,000 per annum",Permanent,full-time,Derby
https://www.reed.co.uk/jobs/data-analyst/52232777?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,£141.92 - £216.72 per day,Temporary,full-time,London
